ext_inspera_questions_5_ext_inspera_candidateResponses_0_ext_inspera_response;ext_inspera_questions_6_ext_inspera_candidateResponses_0_ext_inspera_response;ext_inspera_questions_17_ext_inspera_candidateResponses_0_ext_inspera_response
"def sum_larger(numlist,n):
    summen = 0
    for tall in numlist:
        if tall>n:
            summen+=tall
    return summen
    
        ";"def car_type(n_pass,wt,person):
    if person == True:
        if n_pass>7:#ettersom n_pass gir sitteplasser utover førersete vil da denne settes til maks 7. er 8 med fører
            if wt>5000:
                return ""M3""
            else:
                return ""M2""
        else:
            return ""M1""
    else:
        if wt>3500:
            if wt<=12000:#tolker ikke over som at den kan være 12000 men ikke mer
                return ""N2""
            else:
                return ""N3""
        else:
            return ""N1""";"def sum_near_whole(A):
    svar=0
    for i in range(len(A)):
        for j in range(len(A[i])):
            if i==0 and j==0: #sjekker kun rad og kolone 1 slik at jeg ikke indexerer utenfor mengden.
                if A[i+1,j]==int(A[i+1,j]) or A[i,j+1]==int(A[i,j+1]):
                    svar+=A[i][j]
                    
            elif i==0 and j!=0 and j!=(len(A[i])-1): #sjekker for rad 1 og kolonnene i midten.
                if A[i+1,j]==int(A[i+1,j]) or A[i,j+1]==int(A[i,j+1]) or A[i,j-1]==int(A[i,j-1]):
                    svar+=A[i][j]
                    
            elif i==0 and j==(len(A[i])-1):#sjekker for rad 1 og siste kolonne.
                if A[i+1,j]==int(A[i+1,j]) or A[i,j-1]==int(A[i,j-1]):
                    svar+=A[i][j]
                    
            elif i!=0 and i!=len(A)-1 and j!=0 and j!=(len(A[i])-1):#sjekker alle rader og kolonner som ikke er i endene
                if A[i+1,j]==int(A[i+1,j]) or A[i-1,j]==int(A[i-1,j]) or A[i,j+1]==int(A[i,j+1]) or A[i,j-1]==int(A[i,j-1]):
                    svar+=A[i][j]
                    
            elif i==(len(A)-1) and j==0: #sjekker kun siste rad og kolone 1 slik at jeg ikke indexerer utenfor mengden.
                if A[i-1,j]==int(A[i-1,j]) or A[i,j+1]==int(A[i,j+1]):
                    svar+=A[i][j]
                    
            elif i==(len(A)-1) and j!=0 and j!=(len(A[i])-1): #sjekker for siste rad og kolonnene i midten.
                if A[i-1,j]==int(A[i-1,j]) or A[i,j+1]==int(A[i,j+1]) or A[i,j-1]==int(A[i,j-1]):
                    svar+=A[i][j]
                    
            elif i==(len(A)-1) and j==(len(A[i])-1):#sjekker for siste rad og siste kolonne.
                if A[i-1,j]==int(A[i-1,j]) or A[i,j-1]==int(A[i,j-1]):
                    svar+=A[i][j]
                    
            #mulig jeg kunne klart med med kun en if setning, men var redd for syntax-feil da jeg kanskje ville ha indexert utenfor mengden. Ved vanlig progging ville jeg ha begynt med å se hva jeg får, og dermed kodet meg vidre, slik at koden ble kortere og mer ryddig. Denne metodet skal virke slik jeg ser det, så sant det ikke er noe feil i tegnsetting.
    return svar
                "
"
def sum_larger(numlist,n):
    summen = 0
    for i in numlist:
        if i > n:
            summen += i
    return summen";"
def car_type(n_pass, wt, person):
    
    if person == True:
        
        if n_pass <= 8:
            return ""M1""
            
        if n_pass > 8:
            if wt <= 5000:
                return ""M2""
            else:
                return ""M3""
                
    if person == False:
        if wt <= 3500:
            return ""N1""
        elif (wt > 3500) and (wt <= 12000):
            return ""N2""
        else:
            return ""N3""";"
def sum_near_whole(A):
    summen = 0
    lengde = len(A)

    #sjekker for alle hjørner i et 2d array
    if A[0,1] == int(A[0,1]) or A[1,0] == int(A[1,0]):
        summen += A[0,0]
    if A[0,-2] == int(A[0,-2]) or A[1,-1] == int(A[1,-1]):
        summen += A[0,-1]
    if A[-2,0] == int(A[-2,0]) or A[-1,1] == int(A[-1,1]):
        summen += A[-1,0]
    if A[-1,-2] == int(A[-1,-2]) or A[-2,-1] == int(A[-2,-1]):
        summen += A[-1,-1]
    
    # for løkke for resterende øverste rad
    for i in range(1,lengde-1):
        if A[0,i-1] == int(A[0,i-1]) or A[0,i+1] == int(A[0,i+1]) or A[1,i] == int(A[1,i]):
            summen += A[0,i]
    
    
    #for løkke for resterende nedrerste rad
    for j in range(1,lengde-1):
        if A[-1,i-1] == int(A[-1,i-1]) or A[-1,i+1] == int(A[-1,i+1]) or A[-2,i] == int(A[-2,i]):
            summen += A[-1,i]
    
    #sjekker sider til høyre
    for m in range(1,lengde-1):
        if A[m-1,0] == int(A[m-1,0]) or A[m+1,0] == int(A[m+1,0]) or A[m,1] == int(A[m,1]):
            summen += A[m,0]
    
    #sjekker sider til venstre
    for n in range(1,lengde-1):
        if A[n-1,-1] == int(A[n-1,-1]) or A[n+1,-1] == int(A[n+1,-1]) or A[n,-2] == int(A[n,-2])
        
    #generell sjekk for alle de elementene som ligger mellom fire andre elementer
    for k in range(1,lengde-1):
        for l in range(1,lengde-1):
            if (A[k,l-1] == int(A[k,l-1]) or A[k,l+1] == int(A[k,l+1]) or A[k-1,l] == int(A[k-1,l]) or A[k+1,l] == int(A[k+1,l])):
                summen += A[k,l]
            
    return summen
        
"
"def sum_larger(numlist, n):
    total = 0
    for i in range(len(numlist)):
        if numlist[i] > n:
            total += numlist[i]
            
    return total
            
        ";"def car_type(n_pass, wt,person):    #Antar at n_pass og wt alltid vil vere ein tallverdi, der wt er i kg, og at person er ein bool
    
    if person == True:
        if n_pass <= 7:   #<7 fordi n_pass inkluderer ikkje førersetet
            return ""M1""
            
        else:
            if wt <= 5000:
                return ""M2""
                
            else:
                return ""M3""
                
    else:       #Ettersom person er ein bool, så er det enten True, som dei over, eller False som nå
        if wt <= 3500:
            return ""N1""
            
        if wt > 3500 and wt <= 12000:
            return ""N2""
            
        else:
            return ""N3""";"def sum_near_whole(A):          #Litt usikker på om oppgåva vile at om det stod same tall to ulike plasser, om begge skulle bli                               #addert eller ikkje
    brukte_tall = []
    
    for i in range(len(A)):
        for j in range(len(A)):
            
            if len(A[i][j]) == 2:           #Antar eit heilt flyttall vil stå . og ikkje .0
                brukte_tall.append(A[i+1][j])
                brukte_tall.append(A[i-1][j])
                brukte_tall.append(A[i][j+1])
                brukte_tall.append(A[i][j-1])
                
            
            
    brukte_tall = set(brukte_tall)
    tot = 0
    
    for i in len(brukte_tall):
        tot += brukte_tall[i]
                
    return tot"
"def sum_larger(numlist, n):
    sum=0 #starter med en 'tom' sum og legger til tall her etter hvert
    for i in numlist:#går gjennom lista element for element
        if i>n:#sjekker om elementet er større enn n
            sum+=i#hvis det er større så legges det til i summen
    return sum#til slutt returneres hele summen etter at alle elementene i lista er sjekket";"car_type(n_pass, wt, person):
    if person==True: #sjekker for persontransport først
        if n_pass<9: #sjekker om det er en personbil som har max 8 passasjerer
            return 'M1'
        elif (n_pass>9) and (wt<=5000): #sjekker for M2
            return 'M2'
        else:
            return 'M3' #hvis det er mer enn 8 passasjerer og den veier mer enn 5000 er det M3
    else: #Hvis person==False, altså sjekker jeg for varetransport
        if wt<=3500: #sjekker om vekten er under 3500 altså N1
            return 'N1'
        elif wt<=12000: #sjekker om den veier 3500-12000, siden de som veier under 3500 allerede er 'tatt' av betingelsen over
            return 'N2'
        else:
            return 'N3' #hvis den veier mer enn 3500 og mer enn 12000 blir det N3";"def sum_near_whole(A):
    summen=0 #starter med en 'tom' sum som jeg skal legge til i senere
    s=set()# et tomt set som jeg legger ting til i etter hvert. set sikrer at jeg ikke legger til samme tall flere ganger. Skal summere settet til slutt
    
    for y in range(len(A)): #for hver linje i arrayet
        for x in range(len(A[y])): #går gjennom hvert tall i hver linje
        
             if A[y,x]==int(A[y,x]): #sjekker om tallet er likt heltallet, det er tilfellet hvis desimalen er 0
             
#her skal jeg legge nabotallene inn i s, men ettersom tallene 'ytterst' i arrayet ikke vil ha alle 4 nabotallene så sjekker jeg for hvert enkelt nabotall om det kan legges til i s eller om det utløser en IndexError
                try:
                    s=s.add(A[y,x-1])   
                except IndexError: #Hvis nabotallet ikke finnes i arrayet legger jeg til 0, siden det ikke påvirker summen
                    s=s.add(0)
                try:
                    s=s.add([y,x+1])
                except IndexError:
                    s=s.add(0)
                try:
                    s=s.add(A[y-1,x])
                except IndexError:
                    s=s.add(0)
                try:
                    s=s.add(A[y+1,x])
                except IndexError:
                    s=s.add(0)
    for element in s:
        summen+=element #adderer alle elementene i settet, altså alle nabotall, men ingen tall blir lagt til mer enn 1 gang
    return summen
    "
"def sum_larger(numlist,n):
    summen = 0
    for i in range(len(numlist)):
        if numlist[i] > n:
            summen += numlist[i]
        else:
            summen = summen
    return summen";"def car_type(n_pass, wt, person):
    if person == True:
        if n_pass == 8:
            return ""M1""
        elif n_pass > 8 and wt <= 5000:
            return ""M2""
        else:
            return ""M3""
    else:
        if wt <= 3500:
            return ""N1""
        elif wt > 3500 and wt <= 12000:
            return ""N2""
        else:
            return ""N3""
        ";"def sum_near_whole(A):
    summen = 0
    for i in A:
        for x in i:
            if A[i] == int:
               
    return summen       
            
    
    
bruke kommandoen set() for å ikke få flere tall mer enn to ganger.
Når jeg har funnet ut hvilke indekser som skal bli summert og returnert, adderer jeg de sammen med summen += indeksen
for så å returnere indeksen
 "
"def sum_larger(numlist,n):
    
    summen = 0
    for i in numlist:
        if i > n:
            summen += i
        else:
            summen += 0
    
    return summen
    
    print(sum_larger(numlist,n))";"def car_type(n_pass,wt,person):
    if person == persontransport and n_pass <= 8:
        return ""M1""
    
    if person == persontransport and n_pass > 8:
        if wt <= 5000:
            return ""M2""
        else:
            return ""M3""
    
    if person == varetransport:
        if wt <= 3500:
            return ""N1""
        
        if wt > 3500 and wt <= 12000:
            return ""N2""
            
        else:
            return ""N3""
            
    print(car_type(n_pass,wt,person))";"def sum_near_whole(A):
    
    
    return summen(tall_nabo_til_heltall)"
"def sum_larger(numlist, n):
    sum = 0
    for i in len(numlist):
        if i > n:
            sum += i
        else:
            sum += 0
    return sum
   
        ";"def car_type(n_pass, wt, person):
    persontransport = 1
    varetransport = 0
    if person = True:
        if n_pass <= 8:
            return ""M1""
        elif n_pass > 8 and wt != 5000:
            return ""M2""
        else n_pass > 8 and wt > 5000:
            return ""M3""
    else: 
        if wt > 3500:
            return ""N1""
        elif wt > 12000 and wt > 3500:
            return ""N2""
        else: 
            return ""N3""
            ";"import numpy as np

def sum_near_whole(A):
    sum = 0
    for i in np.array(A):
        if i //1 == i:
            "
"def sum_lager(numlist,n):
    tempSum=0
    for i in range(len(numlist)):
        if numlist[i]>n:
            tempsum+=numlist[i]
    return tempSum
    
";"def car_type(n_pass,wt,person):
    if wt==True:
        if n_pass<=8:
            return ""M1""
        else:
            if wt<=5000:
                return ""M2""
            else:
                return ""M3""
    else:
        if wt>12000:
            return ""N3""
        elif wt>3500:
            return ""N2""
        else: 
            return ""N1""
        
        ";"def sum_near_whole(A):
    sumtotal=0
    temp_set=set() #lager et tumt sett til å lagre positionenee til verdieene som skla med i summen. vil ta hånd om duplikater 
    
    for i in range(len(A)): #iterer gjennom matrisens rader 
        for j in range(len(A[i])): #iterere gjennom kolonnnene. 
            temp_array_o=[] #initisierer tomme arrayer som skal nullstilles hver iterasjon 
            temp_array_u=[]
            temp_array_l=[]
            temp_array_r=[]
            if A[i][j]==int(A[i][j]):#sjekker at det er heltall 
                
                if i==0:#langs øverste rad 
                    if j==0: #i øverste hjørne til venstre 
                        temp_array_r=[i,j+1]
                        temp_array_u=[i+1,j]
                        temp_set.add(temp_array_r)
                        temp_set.add(temp_array_u)
                    elif j==len(A[i]): #I øverste hjørne til høyre 
                        temp_array_l=[i,j-1]
                        temp_array_u=[i+1,j]
                        temp_set.add(temp_array_l)
                        temp_set.add(temp_array_u)
                    else: #resterende plasser langs øverste rad 
                        temp_array_r=[i,j+1]
                        temp_array_l=[i,j-1]
                        temp_array_u=[i+1,j]
                        temp_set.add(temp_array_r)
                        temp_set.add(temp_array_u)
                        temp_set.add(temp_array_l)
                
                elif i==len(A):#langs nederste rad 
                    if j==0: #Nederst til venstre  
                        temp_array_r=[i,j+1]
                        temp_array_o=[i-1,j]
                        temp_set.add(temp_array_r)
                        temp_set.add(temp_array_o)
                    elif j==len(A[i]): #nederst til høyre 
                        temp_array_l=[i,j-1]
                        temp_array_o=[i-1,j]
                        temp_set.add(temp_array_l)
                        temp_set.add(temp_array_o)
                    else: #kunn langs nederste rad 
                        temp_array_r=[i,j+1]
                        temp_array_l=[i,j-1]
                        temp_array_o=[i-1,j]
                        temp_set.add(temp_array_r)
                        temp_set.add(temp_array_o)
                        temp_set.add(temp_array_l)
                    
                elif j==0: #langs venstre kant 
                    if i==0: #til venstre øvers  
                        temp_array_r=[i,j+1]
                        temp_array_u=[i+1,j]
                        temp_set.add(temp_array_r)
                        temp_set.add(temp_array_u)
                    elif i==len(A): #til venstre neders  
                        temp_array_l=[i,j-1]
                        temp_array_o=[i-1,j]
                        temp_set.add(temp_array_l)
                        temp_set.add(temp_array_o)
                    else: #kunn langs venstre kolonne 
                        temp_array_r=[i,j+1]
                        temp_array_u=[i+1,j]
                        temp_array_o=[i-1,j]
                        temp_set.add(temp_array_r)
                        temp_set.add(temp_array_u)
                        temp_set.add(temp_array_o)
                    
                
                elif j==len(A[i]): #langs høyre kant 
                    if i==0: #til høyre øverst  
                        temp_array_l=[i,j-1]
                        temp_array_u=[i+1,j]
                        temp_set.add(temp_array_l)
                        temp_set.add(temp_array_u)
                    elif i==len(A): #til høyre nederst  
                        temp_array_l=[i,j-1]
                        temp_array_o=[i-1,j]
                        temp_set.add(temp_array_l)
                        temp_set.add(temp_array_o)
                    else: #kunn langs høyre kolonne 
                        temp_array_l=[i,j-1]
                        temp_array_u=[i+1,j]
                        temp_array_o=[i-1,j]
                        temp_set.add(temp_array_l)
                        temp_set.add(temp_array_u)
                        temp_set.add(temp_array_o)
                        
                else:#denne er for alle andre palseringer uten om kanten
                    temp_array_l=[i,j-1]
                    temp_array_u=[i+1,j]
                    temp_array_o=[i-1,j]
                    temp_array_r=[i,j+1]
                    temp_set.add(temp_array_l)
                    temp_set.add(temp_array_u)
                    temp_set.add(temp_array_o)
                    temp_set.add(temp_array_r)
    
    
    for k in range(len(temp_set)):#summerer bidrag fra alle instansene i settet
        sum_total+= A[temp_set[k][0]][temp_set[k][1]] 
    
    return sum_total
                    
                        
                
                    
                    
                
                "
"def sum_larger(numlist, n):
    result = 0
    for number in numlist:
        if number > n:
            result += number
    return result";"def car_type(n_pass, wt, person):
    if person == True:
        if n_pass <= 8:
            return ""M1""
        elif n_pass > 8 and wt <= 5000:
            return ""M2""
        elif n_pass > 8 and wt > 5000:
            return ""M3""
    elif person == False:
        if wt <= 3500:
            return ""N1""
        elif 3500 < wt <= 12000:
            return ""N2""
        else:
            return ""N3""";"def sum_near_whole(A):
    result = 0
    for i in range(1, len(A)):
        for j in range(1, len(i)):
            if float(int(A[i][j-1])/2) == float(A[i][j-1]/2):
                result += A[i][j]
            elif float(int(A[i][j+1])/2) == float(A[i][j+1]/2):
                result += A[i][j]
            elif float(int(A[i-1][j])/2) == float(A[i-1][j]/2):
                result += A[i][j]
            elif float(int(A[i+1][j])/2) == float(A[i+1][j]/2):
                result += A[i][j]
    return result"
